refVideo,captureVideo,startFrame,endFrame,avgSSIM
Video005.mp4,Video005M2001.ts,9810,10559,0.520793
Video005.mp4,Video005M2001.ts,10560,11309,0.476656
Video005.mp4,Video005M2001.ts,11310,12059,0.48719
Video006.mp4,Video006M2001.ts,169,918,0.980956
Video006.mp4,Video006M2001.ts,919,1668,0.978031
Video006.mp4,Video006M2001.ts,1669,2418,0.970032
Video006.mp4,Video006M2001.ts,2419,3168,0.978046
Video006.mp4,Video006M2001.ts,3169,3918,0.97505
Video006.mp4,Video006M2001.ts,3919,4668,0.979426
Video006.mp4,Video006M2001.ts,4669,5418,0.985022
Video006.mp4,Video006M2001.ts,5419,6168,0.982156
Video006.mp4,Video006M2001.ts,6169,6918,0.980979
Video007.mp4,Video007M2001.ts,73,822,0.977179
Video007.mp4,Video007M2001.ts,823,1572,0.991991
Video007.mp4,Video007M2001.ts,1573,2322,0.988478
Video007.mp4,Video007M2001.ts,2323,3072,0.985863
Video007.mp4,Video007M2001.ts,3073,3822,0.979032
Video007.mp4,Video007M2001.ts,3823,4572,0.987619
Video007.mp4,Video007M2001.ts,4573,5322,0.990653
Video007.mp4,Video007M2001.ts,5323,6072,0.984654
Video007.mp4,Video007M2001.ts,6073,6822,0.97977
Video007.mp4,Video007M2001.ts,6823,7572,0.98568
Video007.mp4,Video007M2001.ts,7573,8322,0.982816
Video008.mp4,Video008M2001.ts,132,881,0.980291
Video008.mp4,Video008M2001.ts,882,1631,0.980159
Video008.mp4,Video008M2001.ts,1632,2381,0.984753
Video008.mp4,Video008M2001.ts,2382,3131,0.988031
Video008.mp4,Video008M2001.ts,3132,3881,0.985983
Video008.mp4,Video008M2001.ts,3882,4631,0.983283
Video008.mp4,Video008M2001.ts,4632,5381,0.983183
Video008.mp4,Video008M2001.ts,5382,6131,0.991134
Video009.mp4,Video009M2001.ts,164,913,0.976752
Video009.mp4,Video009M2001.ts,914,1663,0.967012
Video009.mp4,Video009M2001.ts,1664,2413,0.976259
Video009.mp4,Video009M2001.ts,2414,3163,0.980014
Video009.mp4,Video009M2001.ts,3164,3913,0.984322
Video009.mp4,Video009M2001.ts,3914,4663,0.979872
Video009.mp4,Video009M2001.ts,4664,5413,0.981513
Video009.mp4,Video009M2001.ts,5414,6163,0.980717
Video009.mp4,Video009M2001.ts,6164,6913,0.983135
Video010.mp4,Video010M2001.ts,164,913,0.978011
Video010.mp4,Video010M2001.ts,914,1663,0.975756
Video010.mp4,Video010M2001.ts,1664,2413,0.988092
Video010.mp4,Video010M2001.ts,2414,3163,0.981131
Video010.mp4,Video010M2001.ts,3164,3913,0.979241
Video010.mp4,Video010M2001.ts,3914,4663,0.985052
Video010.mp4,Video010M2001.ts,4664,5413,0.980424
Video010.mp4,Video010M2001.ts,5414,6163,0.975203
Video010.mp4,Video010M2001.ts,6164,6913,0.958696
Video010.mp4,Video010M2001.ts,6914,7663,0.975421
Video010.mp4,Video010M2001.ts,7664,8413,0.971586
Video010.mp4,Video010M2001.ts,8414,9163,0.971342
Video010.mp4,Video010M2001.ts,9164,9913,0.979474
Video010.mp4,Video010M2001.ts,9914,10663,0.97302
